Location name,Amount spent (EUR)
Alsace,701
Aquitaine,1228
Auvergne,361
Basse-Normandie,432
Bourgogne,549
Bretagne,999
Centre,874
Champagne-Ardenne,410
Corse,133
Franche-Comté,295
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,715
Languedoc-Roussillon,1108
Limousin,221
Lorraine,894
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1078
New Caledonia,≤100
Nord-Pas-de-Calais,1375
Pays de la Loire,1158
Picardie,607
Poitou-Charentes,606
Provence-Alpes-Côte d'Azur,2137
Reunion Island,≤100
Rhône-Alpes,2236
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3774
