Location name,Amount spent (PYG)
Alto Paraguay Department,1380
Alto Paraná Department,255502
Amambay Department,14330
Asunción,276632
Boquerón department,4764
Caaguazú Department,44517
Caazapá Department,4747
Canindeyú Department,12159
Central Department,1235736
Concepción Department (Paraguay),16558
Cordillera Department,81326
Guairá Department,14145
Itapúa Department,56754
Misiones Department,59632
Paraguarí Department,16677
Presidente Hayes Department,18074
San Pedro Department,19224
Unknown,≤100
Ñeembucú Department,5583
