Location name,Amount spent (UYU)
Artigas Department,279
Canelones Department,567
Cerro Largo Department,307
Colonia Department,462
Durazno Department,162
Flores Department,103
Florida Department,143
Lavalleja Department,321
Maldonado Department,346
Montevideo Department,2057
Paysandú Department,1312
Rivera Department,781
Rocha Department,214
Río Negro Department,146
Salto Department,318
San José Department,138
Soriano Department,198
Tacuarembó Department,256
Treinta y Tres Department,225
Unknown,≤100
