Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,305
Cerro Largo Department,≤100
Colonia Department,≤100
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,105
Maldonado Department,124
Montevideo Department,2998
Paysandú Department,1889
Rivera Department,527
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,1002
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
