Location name,Amount spent (EGP)
Al Sharqia Governorate,2789
Alexandria Governorate,1161
Aswan Governorate,136
Asyut Governorate,367
Beheira Governorate,487
Beni Suef Governorate,187
Cairo Governorate,2387
Dakahlia Governorate,733
Damietta Governorate,220
Faiyum Governorate,190
Gharbia Governorate,652
Giza Governorate,878
Ismailia Governorate,810
Kafr el-Sheikh Governorate,359
Luxor Governorate,108
Matrouh Governorate,≤100
Minya Governorate,387
Monufia Governorate,386
New Valley Governorate,676
North Sinai Governorate,≤100
Port Said Governorate,164
Qalyubia Governorate,1052
Qena Governorate,274
Red Sea Governorate,103
Sohag Governorate,390
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
