Location name,Amount spent (PLN)
Greater Poland Voivodeship,5298
Kuyavian-Pomeranian Voivodeship,3637
Lesser Poland Voivodeship,5814
Lower Silesian Voivodeship,3937
Lublin Voivodeship,2312
Lubusz Voivodeship,921
Masovian Voivodeship,12499
Opole Voivodeship,812
Podkarpackie Voivodeship,1711
Podlaskie Voivodeship,1068
Pomeranian Voivodeship,4936
Silesian Voivodeship,4930
Unknown,≤100
Warmian-Masurian Voivodeship,1359
West Pomeranian Voivodeship,2229
Łódź Voivodeship,2995
Świętokrzyskie Voivodeship,1144
