Location name,Amount spent (PLN)
Greater Poland Voivodeship,5182
Kuyavian-Pomeranian Voivodeship,3294
Lesser Poland Voivodeship,6309
Lower Silesian Voivodeship,3920
Lublin Voivodeship,2307
Lubusz Voivodeship,928
Masovian Voivodeship,9905
Opole Voivodeship,859
Podkarpackie Voivodeship,1858
Podlaskie Voivodeship,1007
Pomeranian Voivodeship,4827
Silesian Voivodeship,5051
Unknown,≤100
Warmian-Masurian Voivodeship,1427
West Pomeranian Voivodeship,1950
Łódź Voivodeship,2924
Świętokrzyskie Voivodeship,1151
