Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,426
Cerro Largo Department,111
Colonia Department,174
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,199
Montevideo Department,2459
Paysandú Department,122
Rivera Department,532
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,228
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,108
Treinta y Tres Department,≤100
Unknown,≤100
