Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,103
Apurímac Region,≤100
Arequipa Region,144
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,105
Cusco Region,658
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,160
Junín Region,116
La Libertad Region,1352
Lambayeque Region,131
Lima Region,5039
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,221
Puno Region,102
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
