Location name,Amount spent (CLP)
Antofagasta Region,60288
Araucanía Region,85990
Arica y Parinacota Region,27724
Atacama Region,26914
Aysén Region,13620
Bío Bío Region,180943
Coquimbo Region,120588
Los Lagos Region,63754
Los Ríos Region,32457
Magallanes y la Antártica Chilena Region,16682
Maule Region,68450
O'Higgins Region,93634
Santiago Metropolitan Region,634949
Tarapacá Region,32143
Unknown,18929
Valparaíso Region,155202
