Location name,Amount spent (DKK)
Capital Region of Denmark,57609
Central Denmark Region,29783
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,13626
Region of Southern Denmark,27869
Unknown,≤100
Zealand Region,18134
