Location name,Amount spent (EUR)
Andrijevica Municipality,≤100
Bar Municipality,166
Berane Municipality,≤100
Bijelo Polje Municipality,259
Budva Municipality,125
Danilovgrad Municipality,≤100
Herceg Novi Municipality,137
Kolašin Municipality,≤100
Nikšić Municipality,195
Old Royal Capital Cetinje,≤100
Petnjica Municipality,≤100
Plav Municipality,138
Pljevlja Municipality,118
Plužine Municipality,≤100
Podgorica Capital City,796
Rožaje Municipality,139
Tivat Municipality,169
Ulcinj Municipality,227
Unknown,≤100
Šavnik Municipality,≤100
Žabljak Municipality,≤100
