Location name,Amount spent (EGP)
Al Sharqia Governorate,3192
Alexandria Governorate,768
Aswan Governorate,124
Asyut Governorate,290
Beheira Governorate,449
Beni Suef Governorate,184
Cairo Governorate,1299
Dakahlia Governorate,792
Damietta Governorate,253
Faiyum Governorate,177
Gharbia Governorate,931
Giza Governorate,384
Ismailia Governorate,207
Kafr el-Sheikh Governorate,364
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,327
Monufia Governorate,458
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,145
Qalyubia Governorate,1318
Qena Governorate,232
Red Sea Governorate,≤100
Sohag Governorate,320
South Sinai Governorate,≤100
Suez Governorate,111
Unknown,≤100
