Location name,Amount spent (IDR)
Aceh,3271420
Bali,2993542
Bangka–Belitung Islands,351529
Banten,5188184
Bengkulu,676288
Central Java,20404356
Central Kalimantan,728356
Central Sulawesi,1837254
East Java,20687715
East Kalimantan,2925240
East Nusa Tenggara,3406947
Gorontalo,1561665
Jakarta,23510778
Jambi,1676597
Lampung,4486274
Maluku,1449745
North Kalimantan,361364
North Maluku,385543
North Sulawesi,2504486
North Sumatra,6522059
Papua (province),706041
Riau,3535653
Riau Islands Province,949502
South Kalimantan,1996772
South Sulawesi,6127015
South Sumatra,4654155
Southeast Sulawesi,1691221
Special Region of Yogyakarta,3359466
Unknown,12152
West Java,21368475
West Kalimantan,2370805
West Nusa Tenggara,3306033
West Papua,314377
West Sulawesi,339061
West Sumatra,2218061
