Location name,Amount spent (HUF)
Baranya County,225920
Borsod-Abaúj-Zemplén County,366437
Budapest,1256545
Bács-Kiskun County,286697
Békés County,187040
Csongrád County,256061
Fejér County,245138
Győr-Moson-Sopron County,289142
Hajdú-Bihar County,300314
Heves County,178793
Jász-Nagykun-Szolnok County,188290
Komárom-Esztergom County,171412
Nógrád County,107198
Pest County,665173
Somogy County,155068
Szabolcs-Szatmár-Bereg County,283704
Tolna County,130803
Unknown,146
Vas County,147281
Veszprém County,196604
Zala County,145682
