Location name,Amount spent (VEF)
Amazonas,30000
Anzoátegui,6699974
Apure,140000
Aragua,1038674
Barinas,6562516
Bolívar (state),407501
Capital District,9096343
Carabobo,11510029
Cojedes,≤100
Delta Amacuro,≤100
Falcón,250000
Guárico,250000
Lara,9660279
Miranda (state),2140005
Monagas,6370016
Mérida,6508229
Nueva Esparta,≤100
Portuguesa,217501
Sucre,150000
Trujillo,150000
Táchira,6595016
Vargas,250000
Yaracuy,277869
Zulia,10354488
