Location name,Amount spent (PKR)
Azad Kashmir,1281
Balochistan,2468
Federally Administered Tribal Areas,482
Gilgit-Baltistan,860
Islamabad Capital Territory,2247
Khyber Pakhtunkhwa,13868
Punjab,31202
Sindh,13903
Unknown,≤100
