Location name,Amount spent (USD)
Abkhazia,≤100
Adjara,260
Guria,≤100
Imereti,294
Kakheti,102
Kvemo Kartli,127
Mtskheta-Mtianeti,≤100
Racha-Lechkhumi and Kvemo Svaneti,≤100
Samegrelo-Zemo Svaneti,177
Samtskhe-Javakheti,≤100
Shida Kartli,129
Tbilisi,1304
Unknown,≤100
