Location name,Amount spent (RON)
Alba County,194
Arad County,348
Argeș County,362
Bacău County,405
Bihor County,358
Bistrița-Năsăud County,202
Botoșani County,202
Brașov County,333
Brăila County,159
Bucharest,1482
Buzău County,215
Caraș-Severin County,160
Cluj County,613
Constanța County,387
Covasna County,112
Călărași County,108
Dolj County,445
Dâmbovița County,252
Galați County,314
Giurgiu County,124
Gorj County,204
Harghita County,197
Hunedoara County,284
Ialomița County,104
Iași County,520
Ilfov County,301
Maramureș County,297
Mehedinți County,136
Mureș County,372
Neamț County,269
Olt County,162
Prahova County,365
Satu Mare County,181
Sibiu County,242
Suceava County,348
Sălaj County,136
Teleorman County,153
Timiș County,505
Tulcea County,≤100
Unknown,≤100
Vaslui County,165
Vrancea County,204
Vâlcea County,231
