Location name,Amount spent (AUD)
Australian Capital Territory,2896
Jervis Bay Territory,≤100
New South Wales,24684
Northern Territory,680
Queensland,20059
South Australia,5390
Tasmania,2755
Unknown,≤100
Victoria,25580
Western Australia,9143
