Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
141361183156268,Juan Carlos Upegui,Juan Carlos Upegui,2362400,7
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,1598118,24
105860962029722,Felipe Vélez,Medellín Vuelve a Brillar,1394809,10
130834367164,Red PaPaz,Red PaPaz,933381,4
105578134695113,Andree Uribe Montoya,Andree Uribe Montoya,816018,7
251292808253299,Canadian College,Canadian College,813992,19
308580499200723,Alcaldía de Medellín,Alcaldia de Medellìn,800175,27
499121313802137,Túnel Guillermo Gaviria Echeverri,Túnel Guillermo Gaviria Echeverri,679215,2
310454127055,Politécnico Grancolombiano,Sergio Fernando Gallo Suarez,498844,4
108123275106289,Politólogos Digitales Colombia,Marbel Dayanna Carvajalino O'meara,374003,10
503621983303342,Oscar Mauricio Toro,Oscar Mauricio Toro Valencia,332213,2
101871502791636,Carlos Acosta Juliao Oficial,Toro Digital,288777,5
132840983520233,Gobernación del Atlántico,Gobernación del Atlántico,265224,2
601336570076276,Rodolfo Correa,Rodolfo Andres Vargas Correa,260684,3
105437204540183,Miyerlandi Torres A,Miyerlandi Torres A,253962,8
1719725724954043,Rodrigo Rojas Lara,Rodrigo Rojas Lara,241937,1
969143216462972,Felipe Cañizalez,Andreina Quintero Correa,200668,3
381464961911270,Cruz Roja Antioquia,Cruz Roja Colombiana Seccional Antioquia,188808,12
114317847146525,Alvaro Arias Velez,TORO DIGITAL,181767,8
112155252163421,Sebastián López V.,Sebastian Lopez Valencia,160230,40
1147318942107929,Todos Somos Una,DEBRAIN LLC,160035,6
418155555015037,Germán Escobar Cundinamarca,German Mauricio Escobar,145637,1
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,141779,2
201014753267112,Andrés Fernando Mesa Valencia,Andres Fernando Mesa Valencia,121276,4
407615769604377,Mutante,Fundación Mutante,114300,9
1586192348316443,Maicol Lopera Cardona,Maicol Lopera,104788,95
104628303208123,Clínica Imbanaco,Clínica Imbanaco,102876,2
101180852910189,Sentimiento de Todos,Equipo Comunicaciones Sentimiento de Todos,99510,1
264386463968386,Nubia Stella Martínez,Centro Democrático - Comunidad Oficial,95322,1
1622001728047397,Harman Alcalde,Harman Alcalde,94339,16
108576731393581,Juliana Enciso,Claudia Juliana Enciso Montes,84846,3
107204794960194,Instituto Técnico La Salle,Instituto Técnico La Salle,83929,11
797815127058039,Delighttourscancun,These ads ran without a disclaimer,76424,1
133787883971402,Oscar Ramírez Vahos,Oscar Ramirez Vahos,73701,2
103727635426939,Alexandra Vásquez Ochoa,Leider Alexandra Vasquez Ochoa,71621,1
101672785855145,Irina Salas,Irina Salas,64776,12
851680034864966,Proantioquia,FUNDACION PARA EL DESARROLLO DE ANTIOQUIA. ANTIOQUIA POR COLOMBIA,63175,2
462660883763346,Ronald Mayorga,Ronald Mayorga,56800,4
1755642584683879,Camilo Valencia Por Cajamarca,Space Marketing Sas,56270,1
2158318667815480,Nancy Henao Ruiz,Nancy Concejal Verde,54345,6
350160788433059,Proclama Cauca y Valle,Proclama Cauca y Valle,53684,6
101170393279528,Rodrigo Villalba Mosquera,Martha Diaz,52694,1
1090369011038138,Jaime Duque G,Jaime Duque G,52600,47
201504926957834,Luis M. Carvajalino,Luis Manuel Carvajalino Quin,52205,2
630176134073761,La Fuerza De La Paz,La Fuerza De La Paz,49371,1
175346789490397,Peyi Paternina,Peyi Paternina,48774,3
1383605158583178,Chicho Avanzando Ando,German Dario  Rodríguez Parro,48417,2
105896879028919,MarcosUrrutia,Esteban Danilo Martinez Reyes,47827,2
267198759973201,Bairon Enrique Muñoz Lizarazo,Bairon Enrique Muñoz Lizarazo,47549,4
1774372099446219,Kushki,These ads ran without a disclaimer,46911,1
1488419784774409,Alcaldía de Soledad,Alcaldía Municipal de Soledad,46872,5
324718631509952,Yaneth Quintero,Yaneth Alexandra Quintero Herrera,46008,1
915743661945208,Alejandro Eder,Alejandro Eder,45722,2
121612715215617,Manuel Hernández,Manuel Hernández,44575,38
103084375858203,Mi Campaña Aplicación,BJS inversiones,43997,10
2486973104663693,Hermes Ortiz,Edgar Hernando Paez Aparicio,42654,1
906104439492802,Daniel Duque Velásquez.,Daniel Duque Velásquez.,41660,3
100775989595765,Nhora Mondragón,Nhora Yhanet Mondragon Ortiz,41285,2
188371488749555,Mauro Marquez,Mauricio Marquez Valencia,40332,2
664142747350164,Tatiana López Saldarriaga,Tatiana López Saldarriaga,39849,9
138634813014016,"Alvaro Múnera, grupo de amigos del Diputado Animalista","Alvaro Múnera, grupo de amigos del Diputado Animalista",39700,4
861234197280988,Stefany Gómez Concejala de Armenia,Stefany Gomez Murillo,39353,3
1571473496457749,Neytan Angarita,Neytan Angarita,38281,1
104969865721375,Profes.movimientociudadano,John Bazurto,37229,6
689470488084597,Joan Manuel,Andres Felipe Lopez Borja,36160,2
796134277395174,Luis Francisco Ruiz Aguilar,Luis Francisco Ruiz Aguilar,36149,4
365259027010440,Rigoberto Alfonso Pérez,Rigoberto Alfonso Perez,35069,2
1391674454185591,Concejal Kelly Ortiz,Kelly Ortiz,34858,2
581095835894514,Noticentro 1 CM&,Noticentro 1 CM&,34749,7
1823807254333065,Soy Más País,Soy Mas Pais,34298,10
765302097170348,Línea Cero,Linea Cero,33461,12
1004865626202028,Jaime Peña Peñaranda,Joseph Ferney Galvis Gonzalez,32625,2
104472845840664,Juan Carlos Corrales,Juan Carlos Corrales,31730,2
1400280116941194,Fabian Diaz,Fabian Diaz,31540,6
838927469815494,Diana Diago,Diana Marcela Diago,31192,4
104747731304234,Jeny Mesa,Jeny Johana Mesa Suarez,31154,1
104026941006922,Boyacá Siempre Conservador,Boyacá Siempre Conservador,30301,3
107096255516225,Juan Pablo Cano P,Juan Pablo Cano Pulgarin,30000,2
1037508046302965,Griselda Janeth Restrepo Gallego,Griselda Janeth Restrepo Gallego,28893,1
109543151825317,Contigo Montañita,Tuto Gonzalez,27548,2
1576524665931896,Carlos Amaya Primero Villanueva,Carlos Amaya Primero Villanueva,26736,6
102383079246422,Paulo Gómez,Paulo Gómez,26085,1
114510821145145,Previred Popayán / Tarjeta Médica,Previred Tarjeta Médica,25897,4
224116751044855,Fundación Carvajal,Fundación Carvajal,25457,1
105589235648992,Idolos,Digital Force,25397,5
201155736602572,Hernán Alberto Bedoya,Hernan Alberto Bedoya Cadavid,24967,1
53177129367,Dilian Francisca Toro Torres,Dilian Francisca Toro,24796,1
417060811811167,Juan David Duque García,Juan David Duque Garcia,24673,2
104237548662249,Centro de Emprendimiento Impúlsate,Sebastian Galeano,23427,5
553585915161201,Jhon Molina Putumayo,Jhon Gabriel Molina Acosta,22810,1
623168424459039,Felipe Duran Carrón,Felipe Duran Carrón,22231,2
100650421883650,Lucila Caicedo Bernal,Lucila Caicedo Bernal,22097,1
1448426092057311,El PIBE Sabaneta Concejal,El PIBE Sabaneta Concejal,21952,1
190649367660431,Orlando Benítez,Orlando David Benitez Mora,21610,1
286568181368830,Jhon Eddison Ortega Diputado,Jhon Eddison Ortega Jacome,21023,2
103018426046275,German es el Man,German Montes,21012,1
102108685107684,Jose Baquero,Baquero Jose,20838,1
610946942647692,jorgeluisarzuaga,jorgeluisarzuaga,20777,1
106106338492581,Pacto Histórico Juvenil,Pacto Histórico Juvenil,20715,3
108459260282,Universidad La Gran Colombia,Universidad La Gran Colombia,18997,2
110095518587579,Verdad & Pruebas,Verdad & Pruebas,18343,2
575191809292713,Asociación de Ateos de Bogotá,Diego Alejandro Vargas Aguilar,16899,1
108946084100541,Alcaldía Cartagena Del Chairá,Tuto Gonzalez,16702,1
507379196275144,Robert Sanchez,Andres Felipe Lopez Borja,16359,4
114891091473899,Luis Francisco Oliveros,Edgar Hernando Paez Aparicio,15892,1
191210184867688,Julián Serna Concejal,Julian Andres Serna Ruíz,15836,1
1896813010334035,Secretaría de Educación de Barranquilla,Joseph Ferney Galvis Gonzalez,15427,1
111248191341056,Linda Pinedo Puello,Carlos Andres Perez Lopez,15343,2
214167541938411,Juan Pablo Gallo,Valeria Cardenas Arias,15235,1
110647840532680,Merge Mayor,These ads ran without a disclaimer,15181,1
378127682385944,Julián Peinado Ramírez,Julián Peinado,14767,1
370267297019304,Marco Hincapié,Marco Emilio Hincapie Ramirez,14651,1
109581228202676,Luis Fernando Velazquez Bueno,Luis Fernando Velazquez Bueno,13685,5
237316706446146,Alianza Francesa de Pereira,Alianza Francesa de Pereira,13592,2
655085057949313,Gonzalo Arzuza Torrado,Gonzalo Arzuza Torrado,13338,1
416201871913815,Adolfo Romero,Adolfo Romero,13134,3
104701351208795,"Secretaría de Infraestructura, Renovación Urbana y Vivienda","Secretaría de Infraestructura, Renovación Urbana y Vivienda",12101,1
103461608916621,Claudia Carrasquilla,Claudia Carrasquilla,11658,1
1595888870671480,Carlos Arias Concejal Cali,Andres Castro Pauta,11095,1
348250701862191,Guillermo Velandia Granados,Guillermo Velandia Granados,10926,1
100563549504491,Juan Torres Ortega,Pacto por el Cambio,10707,4
466445923412524,Miguel Ángel Barreto,Joshua Escobar Rengifo,10609,1
179003239458192,Jorge Humberto Rangel,Jorge Rangel,10395,1
110363730692814,Al Aire Arauca,Al Aire,10335,1
1815626541807349,Agencia de Periodismo Investigativo,Norbey Quevedo Hernandez,10291,1
104947707728179,Personería Municipal Jamundí,Jorge Iván Mejía Gutiérrez,10262,1
104542552452795,Shirley Charris,Shirley Charris,10039,2
835710939898329,Paulina Aguinaga,Paulina Aguinaga,9730,2
266790296879,Bloomberg,These ads ran without a disclaimer,9321,1
1535486953389914,Emerson Meneses Gonzalez,Emerson Meneses Gonzalez,9309,2
446016199240073,SERGIO MENDOZA,Sergio Mendoza,9118,1
1539026686130981,puentearanda.com,Gio Guerrero,8823,1
115046394819549,Juan Guillermo González Bernal,Juan Guillermo González Bernal,8537,1
509529099396147,Héctor Rangel,Héctor Rangel,8441,1
100745279605352,nuevasideas.co,Nelson Alexis  Ballesteros,8163,2
991762454190994,Unión Patriótica Duitama,Camilo Andrés Buitrago Camargo,8102,1
333652197285167,Jorge Ramírez,Jorge Hernan Ramirez Barreto,7773,1
1623979207858057,Hanner Concejal,Hanner Concejal,7500,1
101313295980188,Daniel F. Briceño,Daniel F. Briceño,7494,1
2189470411178618,Julian David Garcia,Julian David Garcia Rubio,7488,1
188600086027206,KOA Depil & Esthetic,These ads ran without a disclaimer,7462,2
116761207989138,William Andrés Cruz Sánchez,Julian Alberto Vidarte Orozco,7130,1
109036971779080,Marco Antonio Urbano Gaviria,Marco Antonio Urbano Gaviria,6250,1
2030734503855707,Pacto Historico ElCerrito,Joseph Borja,6035,1
114636997892974,Camilo Manchola,Camilo Manchola,5826,1
1668886976475466,David Gutierrez Mantilla,Jorge Luis,5824,2
257058768509536,Yamid Carvajal,Yamid Carvajal Carvajal,5612,1
108130928319359,No Apto,No Apto,5304,1
452747368833055,Por Vos Copacabana,Por Vos Copacabana,5226,1
165042833621264,Schneider Electric,These ads ran without a disclaimer,5224,1
108494648780234,Innovar para avanzar,Innovar para avanzar,5190,1
1207133029396631,RasEmiliani & The Marsili Explosion,These ads ran without a disclaimer,5060,1
1150942755027141,MMconsultor,MMconsultores,5055,1
108637132149790,Jaime Antonio Villa,Jaime Antonio Villa Hernandez,4912,1
821184711269478,Maria Fernanda Plazas,Maria Fernanda Plazas Bravo,4721,1
102443416034705,Paula Toro Santana,Paula Toro Santana,4661,3
253052458819946,Matsumoto Gun Corps,These ads ran without a disclaimer,4661,1
101016228532393,Caldono Humana,José Ramiro Sandoval Mosquera,4507,1
100574362964896,Shirley Pimienta Martínez,Cesar Picalua Bernal,4131,1
107374008817182,La Polémica,La Polémica,4050,3
1649671688486614,Juan Carlos Muñoz Sepulveda,Juan Carlos Sepulveda Muñoz,3516,1
113529741650662,Ética Periodística,These ads ran without a disclaimer,3286,1
100319211712051,Walter Salas,Walter Manuel Salas Quinto,2943,1
330721417487764,Lucho Zapata Cartago,Lucho Zapata Cartago,2917,1
104802558409883,Valle TV,ValleTV,2803,1
216844335150825,Revista MB,Jhon Mantilla,2553,1
100119084876379,Lida Escobar,Lida Beatriz Escobar Leal,2459,3
462206880605960,Andrés Ignacio Garzón Bejarano,Max Social S.A.S,2373,1
105468602466759,Mundo Verde y Natural,These ads ran without a disclaimer,1911,1
1648417351861251,Cristian Mestra,These ads ran without a disclaimer,1644,1
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,554,4
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,484,2
114922148181756,Curumaní Con Futuro,These ads ran without a disclaimer,280,1
500894620643189,Andres Duque Osorio,These ads ran without a disclaimer,155,1
116238564701983,Alejandro Gutiérrez,Alejandro Gutierrez,≤100,1
1570967143115767,Faith In His Blood . Org,These ads ran without a disclaimer,≤100,1
111009421470153,machadoh7,These ads ran without a disclaimer,≤100,1
