Location name,Amount spent (BRL)
Acre (state),642
Alagoas,2070
Amapá,668
Amazonas,2775
Bahia,8332
Ceará,9261
Espírito Santo,3342
Federal District,3078
Goiás,5363
Maranhão,4125
Mato Grosso,4492
Mato Grosso do Sul,2073
Minas Gerais,15692
Paraná,7081
Paraíba,2633
Pará,4685
Pernambuco,5593
Piauí,1732
Rio Grande do Norte,2762
Rio Grande do Sul,8150
Rio de Janeiro (state),14203
Rondônia,1268
Roraima,683
Santa Catarina,6711
Sergipe,1396
São Paulo (state),39437
Tocantins,699
Unknown,≤100
