Location name,Amount spent (PLN)
Greater Poland Voivodeship,2718
Kuyavian-Pomeranian Voivodeship,1680
Lesser Poland Voivodeship,2943
Lower Silesian Voivodeship,2418
Lublin Voivodeship,1233
Lubusz Voivodeship,655
Masovian Voivodeship,5576
Opole Voivodeship,621
Podkarpackie Voivodeship,1201
Podlaskie Voivodeship,767
Pomeranian Voivodeship,2303
Silesian Voivodeship,3514
Unknown,≤100
Warmian-Masurian Voivodeship,961
West Pomeranian Voivodeship,1383
Łódź Voivodeship,1926
Świętokrzyskie Voivodeship,702
