Location name,Amount spent (DKK)
Capital Region of Denmark,52551
Central Denmark Region,28317
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,12642
Region of Southern Denmark,25620
Unknown,≤100
Zealand Region,17685
