Location name,Amount spent (PKR)
Azad Kashmir,1513
Balochistan,2809
Federally Administered Tribal Areas,417
Gilgit-Baltistan,855
Islamabad Capital Territory,4072
Khyber Pakhtunkhwa,14896
Punjab,41891
Sindh,21554
Unknown,≤100
