Location name,Amount spent (NOK)
Akershus,9449
Aust-Agder,1359
Buskerud,4074
Finnmark,1079
Hedmark,3045
Hordaland,7709
Møre og Romsdal,4219
Nord-Trøndelag,1949
Nordland,3728
Oppland,2769
Oslo,10925
Rogaland,5721
Sogn og Fjordane,1431
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,5887
Telemark,2625
Troms,3229
Unknown,≤100
Vest-Agder,2613
Vestfold,3202
Østfold,4869
