Location name,Amount spent (CZK)
Central Bohemian Region,21326
Hradec Králové Region,9377
Karlovy Vary Region,5644
Liberec Region,7768
Moravian-Silesian Region,21039
Olomouc Region,10845
Pardubice Region,8586
Plzeň Region,10379
Prague,50521
South Bohemian Region,10429
South Moravian Region,27336
Unknown,≤100
Vysočina Region,8440
Zlín Region,9335
Ústí nad Labem Region,15826
