Page ID,Page name,Disclaimer,Amount spent (JPY),Number of ads in Library
108136530968730,おねがい社長！,These ads ran without a disclaimer,365055,44
265075920177069,陸上自衛隊 Japan Ground Self-Defense Force,陸上自衛隊 Japan Ground Self-Defense Force,110310,37
1904070096535109,スマート選挙,株式会社センキョ,54284,12
413847335481057,起業の学校 Willfu 社会人講座,These ads ran without a disclaimer,30916,1
651455718373362,ハイクラスに特化した転職支援『転機』,These ads ran without a disclaimer,30761,1
684161888345926,西日本新聞me,西日本新聞me,24331,34
172980666081766,Seminars セミナーズ,These ads ran without a disclaimer,23457,1
236759056348950,早稲田塾,These ads ran without a disclaimer,22679,4
110058508784307,ライズ・アップ・ジャパン,株式会社経営科学出版,22564,2
119837807745839,The_white_dentalclinic,These ads ran without a disclaimer,18456,8
604274979913078,LITALICO仕事ナビ,These ads ran without a disclaimer,14672,1
113459921370251,Misosoooup,These ads ran without a disclaimer,13095,4
108437581751884,Nurse navi,These ads ran without a disclaimer,11168,1
148562291987208,ザ・ホワイトデンタルクリニック,These ads ran without a disclaimer,10960,12
112971385070778,リドラボ,These ads ran without a disclaimer,9610,1
208661552479830,日本財団,日本財団,9589,1
298060150283457,大分県日出町,大分県日出町,9499,18
101580979109769,簡単diet,These ads ran without a disclaimer,9152,1
281777375260988,オッズパーク,These ads ran without a disclaimer,9082,1
425742864543901,GMOあおぞらネット銀行,These ads ran without a disclaimer,6293,3
173291492700083,Ｚ会,These ads ran without a disclaimer,5994,1
101289366621166,大和ハウスグループ,These ads ran without a disclaimer,5759,4
112033525293553,saitama_s.f,These ads ran without a disclaimer,4947,1
102468941548369,宮城県民共済,宮城県民共済,4687,3
140618006024953,東日本医療専門学校,These ads ran without a disclaimer,4422,1
101973635470022,大丸・松坂屋 Think GREEN,These ads ran without a disclaimer,2527,1
104533215755145,ZOE_Japan,ZOE Japan,2099,3
1662540687318080,千葉じゅんこ【新しい岩手をつくる会】,千葉じゅんこ【新しい岩手をつくる会】,1869,2
100140329094518,ロータリーハウス不動産,These ads ran without a disclaimer,1728,1
202026293187145,鯖江市地域活性化プランコンテスト,特定非営利活動法人エル・コミュニティ,1485,1
101548702904303,Mnjfi,These ads ran without a disclaimer,1294,1
183768428314416,女性社長.net （joseishacho.net）,These ads ran without a disclaimer,1045,1
501174560264857,VENTURE FOR JAPAN,These ads ran without a disclaimer,929,1
1566073946957306,衆議院議員 さかい学 （横浜市戸塚区・泉区・瀬谷区）,自由民主党神奈川県第五選挙区支部（衆議院議員さかい学事務所）,889,2
100982516294925,Jkshwe-3,These ads ran without a disclaimer,867,1
1621936421357167,藤崎町観光情報サイト ふじさんぽ,株式会社コンシス,612,1
6321018343,The Japan Times,These ads ran without a disclaimer,467,1
100199881840737,Minghui Japan（ミンフイ　ジャパン）ー明慧日本,明慧日本,401,1
109843215371766,映画『おまえの罪を自白しろ』,These ads ran without a disclaimer,401,2
1812425055659979,介護ワーカー,These ads ran without a disclaimer,361,1
113281091389397,Yukincooo,These ads ran without a disclaimer,354,3
103271259460852,layovv_official,These ads ran without a disclaimer,299,1
1590535061243274,精神障害当事者会ポルケ,精神障害当事者会ポルケ,287,1
448509025311887,株式会社サンクスホーム,These ads ran without a disclaimer,216,1
168869767018564,白石洋一よういち,白石洋一後援会,176,1
113154441705767,不動産aiチャット-不動産のAIアシスタント,These ads ran without a disclaimer,169,1
676655469036670,松下政経塾,松下政経塾,141,1
256504371891671,the-issues.jp,the-issues.jp,≤100,3
109495178540313,沖倉国悦【六層連動操法】,These ads ran without a disclaimer,≤100,1
101418886360857,木更津市シティプロモーション,These ads ran without a disclaimer,≤100,1
536262416434799,NewsPicks（ニューズピックス）,These ads ran without a disclaimer,≤100,1
100172158527096,Anthony Hamdan Djendeli,These ads ran without a disclaimer,≤100,1
100451933698060,AdVenture Communist,These ads ran without a disclaimer,≤100,3
1486675194695326,低碳想創坊 CarbonCare InnoLab,These ads ran without a disclaimer,≤100,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,2
107990898754094,Moomoo Japan,These ads ran without a disclaimer,≤100,1
104159619344078,Shopsuqiogood-3,These ads ran without a disclaimer,≤100,1
245094455536925,FOUR PAWS,These ads ran without a disclaimer,≤100,8
475778355919914,BB - Best Bios,These ads ran without a disclaimer,≤100,1
137412866820,RSL Awards,These ads ran without a disclaimer,≤100,1
100504345210881,Arkady Efron,These ads ran without a disclaimer,≤100,1
