Location name,Amount spent (MXN)
Aguascalientes,7810
Baja California,22090
Baja California Sur,3657
Campeche,4328
Chiapas,11106
Chihuahua,27997
Coahuila de Zaragoza,75032
Colima,23258
Distrito Federal,95741
Durango,4673
Guanajuato,31678
Guerrero,7214
Hidalgo,8368
Jalisco,150839
Michoacán de Ocampo,25691
Morelos,9151
Nayarit,4331
Nuevo León,90716
Oaxaca,8804
Puebla,17664
Querétaro Arteaga,18279
Quintana Roo,15732
San Luis Potosi,14274
Sinaloa,8074
Sonora,17571
State of Mexico,107792
Tabasco,6729
Tamaulipas,17060
Tlaxcala,5386
Unknown,≤100
Veracruz,24809
Yucatán,14224
Zacatecas,6145
