Location name,Amount spent (ISK)
Capital Region,32159
Eastern Region,1273
Northeastern Region,3338
Northwestern Region,630
Southern Peninsula,2526
Southern Region,2888
Unknown,≤100
Western Region,948
Westfjords,1518
