Location name,Amount spent (COP)
Amazonas,2597
Antioquia,3855518
Arauca,18070
Atlantico,739817
Bolivar,212665
Boyaca,196404
Caldas,113556
Caqueta,107290
Casanare,77615
Cauca,165596
Cesar,116518
Choco,15997
Cordoba,276048
Cundinamarca,353269
Distrito Especial,2920621
Guainia,2186
Guaviare,30160
Huila,209529
La Guajira,112465
Magdalena,168236
Meta,406830
Narino,83725
Norte de Santander,379437
Putumayo,52163
Quindio,175542
Risaralda,390092
San Andres y Providencia,3721
Santander,823355
Sucre,124693
Tolima,306271
Unknown,13635
Valle del Cauca,2641403
Vaupes,330
Vichada,763
