Location name,Amount spent (IDR)
Aceh,1243865
Bali,1777333
Bangka–Belitung Islands,498938
Banten,2645006
Bengkulu,789724
Central Java,11148927
Central Kalimantan,867136
Central Sulawesi,1648354
East Java,13597583
East Kalimantan,1637369
East Nusa Tenggara,2424743
Gorontalo,1121149
Jakarta,9193174
Jambi,1109244
Lampung,2437485
Maluku,618836
North Kalimantan,382110
North Maluku,505476
North Sulawesi,2683334
North Sumatra,5353823
Papua (province),775516
Riau,2470988
Riau Islands Province,974436
South Kalimantan,900679
South Sulawesi,3008645
South Sumatra,2987207
Southeast Sulawesi,1039088
Special Region of Yogyakarta,1442075
Unknown,11388
West Java,11142866
West Kalimantan,1682045
West Nusa Tenggara,1837013
West Papua,399717
West Sulawesi,481690
West Sumatra,1778874
