Location name,Amount spent (PKR)
Azad Kashmir,779
Balochistan,1319
Federally Administered Tribal Areas,274
Gilgit-Baltistan,607
Islamabad Capital Territory,1275
Khyber Pakhtunkhwa,6275
Punjab,21309
Sindh,8294
Unknown,≤100
