Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
776079922494181,Apáti Bence hivatalos oldala,Megafon,1324169,2
109637397268775,Nyugati Pályán,Splendidea Communications Kft,663446,11
120370174702378,Magyarország Kormánya,Magyarország Kormánya,467062,1
224274995688487,Bohár Dániel - Riporter,Megafon,385888,4
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,250135,4
594088897289853,Alapjogokért Központ,Alapjogokért Központ,165026,24
1880809845328535,Dobrev Klára,Demokratikus Koalíció,116956,3
294998357524107,Deák Dániel,Megafon,105435,2
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,104346,15
191461774219575,hirado.hu,hirado.hu,87915,26
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,76458,10
543788999005363,ORIGO,Mediaworks Hungary Zrt.,73773,5
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,61363,8
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,52326,3
1265353903615539,Oeconomus,Oeconomus,51059,10
248172631940,Mandiner,Mediaworks Hungary Zrt.,36213,10
178362315106,European Parliament,European Parliament,30318,8
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,28722,4
150219742265121,Bedő Dávid,Bedő Dávid - Momentum,26067,5
136873753073862,Nőkért Egyesület,Antoni Rita Judit,25872,1
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,25451,7
1534911313439123,Ripost,Ripost,20961,6
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,20048,8
105666454157523,Szikra Mozgalom,Szikra Mozgalom,19633,2
264517713636590,PestiSracok.hu,PestiSrácok.hu,19167,11
102186064905787,Zöld Követ Egyesület,Zöld Követ Egyesület,18448,12
108346693873484,Győrffy Balázs,Balazs Gyorffy,18046,2
193944440638410,Karácsony Gergely,Budapest Főváros Önkormányzat,17608,2
106280224056208,Gelencsér Ferenc,Momentum Mozgalom,16359,4
447204268797621,RTL.hu,RTL.HU,16022,4
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,14445,5
2552532618151148,Újpesti Hírek,Újpesti Hírek,14288,1
294815374340858,Donáth Anna,Donáth Anna - Momentum,13345,1
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,12870,10
110435704162069,V. gr. Molnár-Gazsó János,Vitezi Rend,12132,1
105129068891221,Frisshirek.hu,Genesis Médiacsoport Kft.,10872,4
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,10232,3
108248022589754,Bosch Magyarország,Bosch Magyarország,10188,7
1487569941539650,Tanítanék,Humán Platform,9337,3
100299381703981,Ps TV,PestiSrácok.hu,9283,2
100505208108482,Budapest Városháza,Budapest Főváros Önkormányzat,9024,3
1584646591763647,Kanász-Nagy Máté,LMP - Magyarország Zöld Pártja,8891,2
618962048554434,Havasi Gábor,Momentum Mozgalom,8430,3
734217673259088,Ujhelyi István dr.,Ujhelyi István EP-képviselő,8257,35
423317774385144,Magyar Demokrata hetilap,Demokrata,8177,1
131283758531,HVG,HVG Kiadó ZRt.,8055,6
256906124350468,SZOLIDARITÁS,SZOLIDARITÁS,7999,5
418919345190837,Nemes Balázs - Momentum,Momentum Mozgalom,7676,2
851784814892644,Simicskó István,KDNP frakció,7645,1
85568463466,Mérce,Mérce,7564,9
126539424061030,Háttér Társaság,Háttér Társaság,7240,2
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,7109,9
221761091331222,Danube Institute,Danube Institute,6907,14
109565208474856,Startlap - Utazás tippek,Central Médiacsoport Zrt.,6641,2
643617389449101,Kalocsai Lokálpatrióta Egyesület,Dr. Bagó Zoltán,6612,1
206674032754117,"Karitáció Alapítvány, Gyógyító Bohócdoktorok",Karitáció Közhasznú Alapítvány,6512,2
109844717848217,Klímapolitikai Intézet,Klímapolitikai Intézet,6499,1
100452852734271,Startlap - Vásárlás tippek,Central Médiacsoport Zrt.,6496,2
