Location name,Amount spent (EGP)
Al Sharqia Governorate,1106
Alexandria Governorate,1319
Aswan Governorate,196
Asyut Governorate,487
Beheira Governorate,607
Beni Suef Governorate,500
Cairo Governorate,3061
Dakahlia Governorate,1460
Damietta Governorate,359
Faiyum Governorate,469
Gharbia Governorate,997
Giza Governorate,1097
Ismailia Governorate,504
Kafr el-Sheikh Governorate,378
Luxor Governorate,151
Matrouh Governorate,≤100
Minya Governorate,568
Monufia Governorate,852
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,151
Qalyubia Governorate,725
Qena Governorate,365
Red Sea Governorate,≤100
Sohag Governorate,571
South Sinai Governorate,≤100
Suez Governorate,129
Unknown,≤100
