Location name,Amount spent (EGP)
Al Sharqia Governorate,3348
Alexandria Governorate,4424
Aswan Governorate,649
Asyut Governorate,1418
Beheira Governorate,2017
Beni Suef Governorate,957
Cairo Governorate,10164
Dakahlia Governorate,3967
Damietta Governorate,1047
Faiyum Governorate,1083
Gharbia Governorate,3169
Giza Governorate,2776
Ismailia Governorate,822
Kafr el-Sheikh Governorate,1569
Luxor Governorate,902
Matrouh Governorate,201
Minya Governorate,1480
Monufia Governorate,2291
New Valley Governorate,198
North Sinai Governorate,312
Port Said Governorate,620
Qalyubia Governorate,2585
Qena Governorate,1260
Red Sea Governorate,431
Sohag Governorate,1546
South Sinai Governorate,159
Suez Governorate,485
Unknown,≤100
