Location name,Amount spent (SEK)
Blekinge County,3775
Dalarna County,7792
Gotland County,1863
Gävleborg County,8468
Halland County,7926
Jämtland County,4161
Jönköping County,9853
Kalmar County,5938
Kronoberg County,5324
Norrbotten County,7093
Skåne County,38225
Stockholm County,73083
Södermanland County,8047
Unknown,≤100
Uppsala County,11791
Värmland County,7561
Västerbotten County,7731
Västernorrland County,6435
Västmanland County,7173
Västra Götaland County,48634
Örebro County,8525
Östergötland County,14087
