Location name,Amount spent (MXN)
Aguascalientes,4911
Baja California,13041
Baja California Sur,1800
Campeche,16058
Chiapas,9117
Chihuahua,16278
Coahuila de Zaragoza,27714
Colima,2096
Distrito Federal,66567
Durango,4292
Guanajuato,11929
Guerrero,7168
Hidalgo,6310
Jalisco,46936
Michoacán de Ocampo,11969
Morelos,6789
Nayarit,2434
Nuevo León,52023
Oaxaca,6425
Puebla,15845
Querétaro Arteaga,8543
Quintana Roo,7617
San Luis Potosi,13071
Sinaloa,17081
Sonora,10404
State of Mexico,60657
Tabasco,6064
Tamaulipas,13958
Tlaxcala,3103
Unknown,≤100
Veracruz,15929
Yucatán,22640
Zacatecas,3199
