Location name,Amount spent (EUR)
Blagoevgrad Province,1089
Burgas Province,1185
Dobrich Province,665
Gabrovo Province,263
Haskovo Province,623
Kardzhali Province,432
Kyustendil Province,268
Lovech Province,295
Montana Province,251
Pazardzhik Province,751
Pernik Province,301
Pleven Province,704
Plovdiv Province,1841
Razgrad Province,657
Ruse Province,690
Shumen Province,415
Silistra Province,271
Sliven Province,761
Smolyan Province,283
Sofia City Province,4189
Sofia Province,520
Stara Zagora Province,1059
Targovishte Province,322
Unknown,≤100
Varna Province,1435
Veliko Tarnovo Province,729
Vidin Province,182
Vratsa Province,620
Yambol Province,288
