Location name,Amount spent (USD)
Azuay Province,2953
Bolívar Province,225
Carchi Province,310
Cañar Province,747
Chimborazo Province,739
Cotopaxi Province,635
El Oro Province,2432
Esmeraldas Province,1353
Galápagos Province,177
Guayas Province,8780
Imbabura Province,1140
Loja Province,1097
Los Ríos Province,2142
Manabí Province,5235
Morona-Santiago Province,345
Napo Province,156
Orellana Province,435
Pastaza Province,308
Pichincha Province,5311
Santa Elena Province,709
Santo Domingo de los Tsáchilas Province,4152
Sucumbíos Province,601
Tungurahua Province,1365
Unknown,≤100
Zamora-Chinchipe Province,223
