Location name,Amount spent (CLP)
Antofagasta Region,156928
Araucanía Region,355035
Arica y Parinacota Region,37873
Atacama Region,64038
Aysén Region,47720
Bío Bío Region,308543
Coquimbo Region,268835
Los Lagos Region,209986
Los Ríos Region,75964
Magallanes y la Antártica Chilena Region,58302
Maule Region,219604
O'Higgins Region,315591
Santiago Metropolitan Region,1938865
Tarapacá Region,91195
Unknown,400
Valparaíso Region,583613
