Location name,Amount spent (DKK)
Capital Region of Denmark,51647
Central Denmark Region,26431
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,11305
Region of Southern Denmark,23832
Unknown,≤100
Zealand Region,15147
