Location name,Amount spent (COP)
Amazonas,4075
Antioquia,10685288
Arauca,59772
Atlantico,886438
Bolivar,599502
Boyaca,1039740
Caldas,886900
Caqueta,318030
Casanare,214229
Cauca,603296
Cesar,222985
Choco,50502
Cordoba,551477
Cundinamarca,1084909
Distrito Especial,6059161
Guainia,34867
Guaviare,37296
Huila,552783
La Guajira,70937
Magdalena,211326
Meta,849949
Narino,194904
Norte de Santander,632627
Putumayo,229221
Quindio,112110
Risaralda,1039548
San Andres y Providencia,20788
Santander,2150979
Sucre,153610
Tolima,781932
Unknown,640
Valle del Cauca,5018002
Vaupes,797
Vichada,2190
