Location name,Amount spent (DKK)
Capital Region of Denmark,45865
Central Denmark Region,34282
Faroe Islands,626
Greenland,≤100
North Denmark Region,13462
Region of Southern Denmark,28904
Unknown,≤100
Zealand Region,18174
