Page ID,Page name,Disclaimer,Amount spent (SAR),Number of ads in Library
105922388949784,alsaud.abdalaziz_01,These ads ran without a disclaimer,≤100,1
112883907521769,Reza 6,These ads ran without a disclaimer,≤100,1
102074335941222,Amil in Karachi,These ads ran without a disclaimer,≤100,1
351782075469967,miisstaj,These ads ran without a disclaimer,≤100,1
100466846248633,AI Mage,These ads ran without a disclaimer,≤100,3
104015742220554,Mimic,These ads ran without a disclaimer,≤100,1
232723884078472,زهراءباقر�سفيرة الإيجابية,These ads ran without a disclaimer,≤100,1
274394006605216,History A2Z Magazine,These ads ran without a disclaimer,≤100,1
1039675682714205,스브스뉴스,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,2
130369030334301,KidsRights,These ads ran without a disclaimer,≤100,1
107441672063262,MRS Universe Asia USA 2022,These ads ran without a disclaimer,≤100,1
1591433164421320,Beco,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,1
101602829429081,kousarsadeghzadeh,These ads ran without a disclaimer,≤100,1
