Location name,Amount spent (PKR)
Azad Kashmir,1709
Balochistan,7595
Federally Administered Tribal Areas,518
Gilgit-Baltistan,967
Islamabad Capital Territory,3908
Khyber Pakhtunkhwa,17347
Punjab,74846
Sindh,158954
Unknown,≤100
