Page ID,Page name,Disclaimer,Amount spent (EGP),Number of ads in Library
798673866859390,ETC TV,ETC TV,5041,33
100889322590952,عطر الكلام,These ads ran without a disclaimer,1585,2
273900239400893,نقابة المحامين المصرية,نقابة المحامين المصرية,1149,6
200480966638039,Supremacy 1914,These ads ran without a disclaimer,870,2
100835565731657,Ahmed Amin Massoud - أحمد أمين مسعود,Ahmed Amin Massoud - أحمد أمين مسعود,675,2
573028226546985,Russian Kitchen By Shaban Shahin,These ads ran without a disclaimer,601,1
101009088774421,حزب حماة الوطن,محمد السيد عبد الستار,541,4
109633578582976,إسحق أنور ishak Anwar,Amal Anwer,538,1
108210648333964,محمود طاهر -Mahmoud Taher,محمود طاهر -Mahmoud Taher,499,3
181524565276709,الهلال الأحمر المصري - Egyptian Red Crescent,الهلال الأحمر المصري - Egyptian Red Crescent,496,2
102883459081121,Mohamed Taher - محمد طاهر,Mohamed Taher - محمد طاهر,438,3
107341317497331,ELDiaa home modern store,These ads ran without a disclaimer,435,1
101516486048536,CDIS - Egypt Cybersecurity & Data Intelligence Systems Conference & Expo,CDIS Cybersecurity and Data Intelligence Conference and Expo,402,3
192320965049184,الإعلامية نيفين منصور,Nivine Mansour,395,5
110877857406073,المهندس حسام لبن,المهندس حسام لبن,382,3
102117062841057,الصفحه الرسميه للنائبه الدكتوره حنان عمار,Omar Abdelaziz,321,2
106450555171099,مجدي البري - Magdy Elbery,مجدي البري - Magdy Elbery,300,4
104198795953934,جمعية أصدقاء مرضى الأورام بالشرقية,Mohamed Basher,293,1
663508057123324,جمعية رسالة للأعمال الخيرية بالدقهلية,جمعية رسالة للأعمال الخيرية بالدقهلية,293,5
101361307958442,Mohamad ElGarhy,محمد السيد عبد الستار,273,2
354968941204659,الدكتور أيمن أبو العلا عضو مجلس النواب,الدكتور أيمن أبو العلا عضو مجلس النواب,256,7
113101433777546,Essam Diab - عصام دياب,Mahmoud Mostafa Ghorab,247,1
1632636017007559,Mohamed Mostafa Elsallab محمد مصطفي السلاب,Mohamed Mostafa Elsallab محمد مصطفي السلاب,226,2
1934139156895621,د.خالد قنديل Dr.Khaled Kandel,Basel Noufal,215,2
308088503057656,النائب محمود عصام,النائب محمود عصام,211,8
119565789447914,أمل أنور - Amal Anwer,Amal Anwer,203,1
319044774889435,المركز الإعلامي للنائب هاني خضر,النائب هاني خضر,200,1
107847177821253,NOW الشرق,These ads ran without a disclaimer,194,2
102752291431181,المهندس حازم الجندي - Hazem ElGendy,المهندس حازم الجندي - Hazem ElGendy,194,2
1916894871881712,يونس عبدالرازق - Younes abdelrazek,يونس عبدالرازق - Younes abdelrazek,191,3
102703968944759,مصر الآن,مصر الآن,185,2
166420296805460,حزب المحافظين,حزب المحافظين,183,1
666470146818916,مؤسسة جبر القلوب,Mohamed Elsafty,165,4
100857675472522,ScreeN+,These ads ran without a disclaimer,157,2
103306795431663,Trka,These ads ran without a disclaimer,150,1
100989841697034,محمد على ابوحجازى ـ عضو مجلس الشيوخ المصري,محمد على ابوحجازى ـ عضو مجلس الشيوخ المصري,147,2
104864037834748,المستشار شعبان رأفت عبداللطيف,Mohamed Helmy,144,1
103745798627292,المستشار ماهر ميلاد اسكندر,المستشار ماهر ميلاد اسكندر,141,2
105096455624550,Tamer abdelhamid - تامر عبد الحميد,Tamer abdelhamid - تامر عبد الحميد,140,2
106719921012688,Ahmed Bahaa Shalaby-أحمد بهاء شلبي,Integrated Marketing Communications For Media.IMC,135,3
101586878327765,Hassanein Tawfiq - حسانين توفيق,Hassanein Tawfiq - حسانين توفيق,133,3
112072071382470,أحمد الفار - Ahmed Elfar,Noha Mohamed Ibrahim,129,2
291809778339184,أحوال مصرية,These ads ran without a disclaimer,122,1
1994786354105727,النائب أحمد فرغلى,احمد فرغلى,120,1
105872082337085,الصفحه الرسمية للنائب أحمد عبدالجواد,ابراهيم احمد ابراهيم محمد,116,1
103283332669003,مؤسسة جمال الجارحي للتنمية المجتمعية,محمد السيد عبد الستار,108,1
100391255098382,Amal Ramzy,Basem Ragab,106,1
111393504057042,د/ مها عبد الناصر,د/ مها عبد الناصر,106,1
113409070485501,Samy Nasrallah - سامي نصرالله,Samy Nasrallah - سامي نصرالله,102,1
181308273994531,قلم,These ads ran without a disclaimer,≤100,1
535371883202755,Freddy Elbaiady  صفحة فريدي البياضي,Freddy Elbaiady  صفحة فريدي البياضي,≤100,1
118932207798163,Rehab Eltehewy - رحاب التحيوي,Rehab Eltehewy - رحاب التحيوي,≤100,3
118932207798163,Rehab Eltehewy - رحاب التحيوي,حسين السيد,≤100,2
103204975886755,البديوي السيد - الصفحة الرسمية,Mohamed Elbedewy,≤100,2
112709551678127,الصفحة الرسمية لبرنامج آخر كلام,These ads ran without a disclaimer,≤100,2
102498564631055,Asharq News الشرق للأخبار,These ads ran without a disclaimer,≤100,1
112161944845807,Nevein Basiouny,Muhammad Nash'at,≤100,1
109658144221568,Queen limousine C&M,These ads ran without a disclaimer,≤100,2
118992379972310,Fatmah Selim - فاطمة سليم,Fatmah Selim - فاطمة سليم,≤100,2
597559790371644,نادى الزهور الرياضى,نادى الزهور الرياضى,≤100,1
113021098341496,shireenmotara_coach,These ads ran without a disclaimer,≤100,1
1443904622515750,Egytronix Design and Automation,These ads ran without a disclaimer,≤100,1
595025640685644,النائبة شيرين عبد العزيز - Sherin abdelaziz,النائبة شيرين عبد العزيز - Sherin abdelaziz,≤100,1
103291013528894,Dr.Mokhtar Gomaa,Ahmed Zaatar,≤100,1
107096734501088,النائبة منى عمر عضو مجلس النواب,Shymaa Adel,≤100,1
113351543859308,أحمد الشناوي خليل - عضو مجلس النواب المصري,Ahmed Abdel Moneam,≤100,1
427648547297783,Hasan Ismaik - حسن إسميك,These ads ran without a disclaimer,≤100,1
115652281405063,mentalhealthwithkiara,These ads ran without a disclaimer,≤100,1
103403614933648,M Raghunath Yadav,These ads ran without a disclaimer,≤100,1
109617848694410,صبري أبوالوفا,These ads ran without a disclaimer,≤100,1
104615178344594,Future of Egypt - جهاز مستقبل مصر للتنمية المستدامة,These ads ran without a disclaimer,≤100,1
111063288546198,حسام فاروق,These ads ran without a disclaimer,≤100,1
105322721599496,الدكتور محمد زكي الوحش,الدكتور محمد زكي الوحش,≤100,1
1489132534677197,حماده بقرة,These ads ran without a disclaimer,≤100,1
107767437680846,أحمد صلاح الطاروطي,Suzie Raafat,≤100,1
101616782888805,Travel Away,These ads ran without a disclaimer,≤100,1
108843652138662,hazrathariz,These ads ran without a disclaimer,≤100,1
102866222370186,Peacemakers Club,These ads ran without a disclaimer,≤100,1
393412505386,Offshore Technology Conference (OTC),These ads ran without a disclaimer,≤100,1
104444237650160,برنامج مع الرئيس,These ads ran without a disclaimer,≤100,1
107684718910036,sardegna_meravigliosa_,These ads ran without a disclaimer,≤100,1
17973644177,Global Peace Foundation,These ads ran without a disclaimer,≤100,1
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100,3
110601581389972,Movement for Cultural Heritage,These ads ran without a disclaimer,≤100,1
