Page ID,Page name,Disclaimer,Amount spent (LBP),Number of ads in Library
141039382740595,National Commission For Lebanese Women NCLW,National Commission For Lebanese Women NCLW,597015,2
110470091436602,Ici Beyrouth,Ici beyrouth,537313,11
106197498149118,لبنان الكبير,Grand Lebanon,477612,15
102023711572671,أساس ميديا -  Asas Media,asasmedia,462687,9
212513695502997,Annahar Newspaper | جريدة النهار,Annahar Newspaper | جريدة النهار,373134,9
1918990294985442,Megaphone - ميغافون,Megaphone - ميغافون,362388,7
466221740108607,May Chidiac Foundation - Media Institute,May Chidiac,298507,2
121129357949826,Saida Online,Saida Online,223881,1
105758000974645,TAQADDOM - تقدم,Taqaddom,208955,1
1744356319118477,هنا لبنان,هنا لبنان,194030,4
164472683608068,Act for the Disappeared,ACT for the Disappeared,194030,2
107698404702208,Alkalima,Alkalima Onlime,179104,3
322181790311,Lebanese Forces News,Lebanese Information Technology Services s.a.r.l,153582,2
161488540921957,صيدا أون لاين - أخبار صيدا,Saida Online,149254,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,142395,3
129660230432028,Dr. Toufic Hindi,Toufic Hindi,123881,1
105319651353770,Jusur,Jusur,119403,3
2319249898311729,National Bloc - الكتلة الوطنيّة,National Bloc - الكتلة الوطنيّة,104478,2
107800617419717,MYKA Foundation,Elie M. ElHelou,89552,1
2509759842418472,LebTalks,Lebtalks,59701,1
109112633772887,180post,180Post,44776,1
128417954019381,Al-Moltaka,Melhem Boustany,44776,1
104093387800328,مركز بيروت للاخبار,مركز بيروت للاخبار,38209,1
104557275823271,Islamic Coin,These ads ran without a disclaimer,21045,2
111876598323760,صدى الأرز اللبنانية,صدى الأرز اللبنانية,14925,1
106821968055687,Leila Dagher,Leila Dagher,14925,1
109391388543268,Mariana Alves,These ads ran without a disclaimer,2854,3
105535055794455,Taqamena,These ads ran without a disclaimer,2239,1
110969788607678,Dre8655-Stories,These ads ran without a disclaimer,≤100,1
462848513792011,国家大剧院National Centre for the Performing Arts,These ads ran without a disclaimer,≤100,1
333426070147135,Benny Kuriakose Associates,These ads ran without a disclaimer,≤100,2
567727783246651,فضل عرابي,These ads ran without a disclaimer,≤100,1
1102199946478493,Spotlight,These ads ran without a disclaimer,≤100,5
114496691584484,Dre2644-Novels,These ads ran without a disclaimer,≤100,3
116126484753041,Dre7566-Stories,These ads ran without a disclaimer,≤100,6
107659855588990,Dre5915-MeReading,These ads ran without a disclaimer,≤100,3
684480475094920,Discover Inner Mongolia,These ads ran without a disclaimer,≤100,1
517762121588320,Visit Dubai,These ads ran without a disclaimer,≤100,1
112197458421874,shorokhmoud94,These ads ran without a disclaimer,≤100,1
118945884467733,Dre4628-MeReading,These ads ran without a disclaimer,≤100,2
