Location name,Amount spent (VEF)
Amazonas,105989
Anzoátegui,1922658
Apure,592355
Aragua,6492810
Barinas,923276
Bolívar (state),1821330
Capital District,3465100
Carabobo,18067891
Cojedes,513027
Delta Amacuro,179014
Falcón,1120476
Guárico,1030411
Lara,2178215
Miranda (state),1540349
Monagas,865319
Mérida,1270097
Nueva Esparta,579377
Portuguesa,1062724
Sucre,837338
Trujillo,962128
Táchira,38841486
Unknown,≤100
Vargas,381462
Yaracuy,896757
Zulia,18087509
