Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
100835685957727,PRO PEACE KENYA,Trance Marketing Hub Ltd,2139,4
107725671976672,Willis Evans Otieno,Willis Evans Otieno K'Ochieng,1916,3
1400771023469241,Anne Waiguru,Gacigi Njagi Gacigi,1279,2
1517088885216557,AIG,These ads ran without a disclaimer,728,3
1743520282644325,National Security Watch,Peris Wambui Mugi,420,3
110408975208360,Talking about matters,Well Made Strategy LLP,379,3
100835685957727,PRO PEACE KENYA,Brenda Kananu,262,1
749501791796416,Hon. Wakili Njeri Maina,Jane Njeri Maina,230,1
108703681766380,Hustler Media,Robert Waswa Simiyu,186,1
2118376161797721,Business Analytica Kenya,Peris Wambui Mugi,177,1
693849871003458,KENYA HOT TODAY,Peris Wambui Mugi,176,1
2119732698342937,Vodafone Group,These ads ran without a disclaimer,149,1
101618851420739,Kenyan Truth Teller,Peris Wambui Mugi,122,1
105647461757849,Azimio/Inawezekana for Raila the 5th.,Bonface Ouma,117,1
1506723769658512,Susan Kihika,Susan Kihika,≤100,1
187461997935711,Unilever Careers,These ads ran without a disclaimer,≤100,1
274400273295605,Programa Papo de Bola,These ads ran without a disclaimer,≤100,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,1
345840486219924,Energy China,These ads ran without a disclaimer,≤100,1
1883003128429295,Queer Majority,These ads ran without a disclaimer,≤100,1
212864082137,Mike Manning,These ads ran without a disclaimer,≤100,1
106321962111925,taboo_empower,These ads ran without a disclaimer,≤100,1
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,≤100,1
