Location name,Amount spent (SEK)
Blekinge County,5027
Dalarna County,10173
Gotland County,2341
Gävleborg County,10518
Halland County,10494
Jämtland County,5063
Jönköping County,12076
Kalmar County,7812
Kronoberg County,6172
Norrbotten County,9427
Skåne County,48872
Stockholm County,77115
Södermanland County,10589
Unknown,≤100
Uppsala County,15518
Värmland County,9483
Västerbotten County,10575
Västernorrland County,8350
Västmanland County,9338
Västra Götaland County,57784
Örebro County,10013
Östergötland County,17293
