Location name,Amount spent (INR)
Andaman and Nicobar Islands,446
Andhra Pradesh,61586
Arunachal Pradesh,2228
Assam,36206
Bihar,107319
Chandigarh,5441
Chhattisgarh,46932
Dadra and Nagar Haveli,1388
Delhi,85154
Goa,3781
Gujarat,96601
Haryana,56751
Himachal Pradesh,20472
Jammu and Kashmir,25278
Jharkhand,31002
Karnataka,192399
Kerala,39783
Lakshadweep,≤100
Madhya Pradesh,110244
Maharashtra,272467
Manipur,5111
Meghalaya,109619
Mizoram,1901
Nagaland,3263
Odisha,34595
Puducherry,3667
Punjab region,50360
Rajasthan,129225
Sikkim,1839
Tamil Nadu,86806
Telangana,65709
Tripura,98900
Unknown,212
Uttar Pradesh,224245
Uttarakhand,21991
West Bengal,130178
