Page ID,Page name,Disclaimer,Amount spent (JMD),Number of ads in Library
823788047675556,Call of War,These ads ran without a disclaimer,1705,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,489,1
102838882271105,NovelReader,These ads ran without a disclaimer,112,6
131189377574,MDPI,These ads ran without a disclaimer,≤100,4
105898939096628,Domani Media,These ads ran without a disclaimer,≤100,1
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
102217977859164,LIME,These ads ran without a disclaimer,≤100,1
456013751424561,CESaRE,These ads ran without a disclaimer,≤100,1
815563748564959,Yolla - International Calling,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,3
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
106463548895074,pisces_dragon_22,These ads ran without a disclaimer,≤100,1
348921302861345,Flow Business,These ads ran without a disclaimer,≤100,1
101054365776547,Charming Changzhou,These ads ran without a disclaimer,≤100,1
318711818130,Boot Camp Digital,These ads ran without a disclaimer,≤100,2
235227333257470,Air Charter Service,These ads ran without a disclaimer,≤100,1
93215829929,International Surfing Association,These ads ran without a disclaimer,≤100,1
102698589075063,MFIX UAE,These ads ran without a disclaimer,≤100,1
160720010711227,Panel Rey,These ads ran without a disclaimer,≤100,1
