Location name,Amount spent (IDR)
Aceh,685433
Bali,1688749
Bangka–Belitung Islands,381641
Banten,2844089
Bengkulu,604822
Central Java,6663503
Central Kalimantan,614166
Central Sulawesi,787953
East Java,9263883
East Kalimantan,1233793
East Nusa Tenggara,1439197
Gorontalo,348471
Jakarta,6619773
Jambi,783651
Lampung,1659238
Maluku,379059
North Kalimantan,205807
North Maluku,298027
North Sulawesi,1541462
North Sumatra,4433929
Papua (province),474800
Riau,1674603
Riau Islands Province,763368
South Kalimantan,628110
South Sulawesi,2006874
South Sumatra,2163713
Southeast Sulawesi,637319
Special Region of Yogyakarta,1011316
Unknown,5649
West Java,9700527
West Kalimantan,1234473
West Nusa Tenggara,1268238
West Papua,278321
West Sulawesi,316728
West Sumatra,1150669
