Location name,Amount spent (VND)
An Giang Province,19582
Bà Rịa–Vũng Tàu Province,18783
Bình Dương Province,42884
Bình Phước Province,13955
Bình Thuận Province,10713
Bình Định Province,14415
Bạc Liêu Province,7388
Bắc Giang Province,12064
Bắc Kạn Province,1030
Bắc Ninh Province,49849
Bến Tre Province,11318
Cao Bằng Province,28964
Cà Mau Province,7484
Cần Thơ,14042
Da Nang,28438
Gia Lai Province,49823
Haiphong,18115
Ho Chi Minh City,115860
Hà Giang Province,4492
Hà Nam Province,4720
Hà Tĩnh Province,9817
Hòa Bình Province,3584
Hưng Yên Province,9675
Hải Dương Province,12007
Hậu Giang Province,5857
Khánh Hòa Province,14717
Kiên Giang Province,12244
Kon Tum Province,4732
Lai Châu Province,1130
Long An Province,14176
Lào Cai Province,4267
Lâm Đồng Province,14330
Lạng Sơn Province,1893
Nam Định Province,10376
Nghệ An Province,43796
Ninh Bình Province,7671
Ninh Thuận Province,5805
Phú Thọ Province,9359
Phú Yên Province,11009
Quảng Bình Province,5704
Quảng Nam Province,23167
Quảng Ngãi Province,13010
Quảng Ninh Province,9919
Quảng Trị Province,6949
Sóc Trăng Province,8374
Sơn La Province,6029
Thanh Hóa Province,16798
Thái Bình Province,11209
Thái Nguyên Province,111677
Thừa Thiên–Huế Province,14614
Tiền Giang Province,15789
Trà Vinh Province,5846
Tuyên Quang Province,5153
Tây Ninh Province,14571
Vĩnh Long Province,8970
Vĩnh Phúc Province,7750
Yên Bái Province,101729
Điện Biên Province,6094
Đắk Lắk Province,15860
Đắk Nông Province,4088
Đồng Nai Province,28125
Đồng Tháp Province,9621
