Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,285
Apurímac Region,≤100
Arequipa Region,327
Ayacucho Region,115
Cajamarca Region,258
Callao,190
Cusco Region,248
Huancavelica Region,≤100
Huánuco Region,133
Ica Region,233
Junín Region,252
La Libertad Region,472
Lambayeque Region,345
Lima Region,2449
Loreto Region,200
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,550
Puno Region,244
San Martín Region,208
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,142
Unknown,≤100
