Location name,Amount spent (MXN)
Aguascalientes,7170
Baja California,22961
Baja California Sur,2882
Campeche,14821
Chiapas,32750
Chihuahua,18137
Coahuila de Zaragoza,153386
Colima,2740
Distrito Federal,153817
Durango,7119
Guanajuato,19133
Guerrero,7355
Hidalgo,8530
Jalisco,110185
Michoacán de Ocampo,23588
Morelos,18498
Nayarit,3031
Nuevo León,30252
Oaxaca,8631
Puebla,24268
Querétaro Arteaga,17150
Quintana Roo,39847
San Luis Potosi,10974
Sinaloa,5044
Sonora,13261
State of Mexico,211950
Tabasco,6550
Tamaulipas,16194
Tlaxcala,3348
Unknown,≤100
Veracruz,23967
Yucatán,20768
Zacatecas,4020
