Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
60516116431,Člověk v tísni,Člověk v tísni o.p.s.,44126,29
2214398435317853,CNN Prima NEWS,FTV Prima,21660,3
314038193269,211 - Zdravotní pojišťovna ministerstva vnitra ČR,Zdravotní pojišťovna ministerstva vnitra ČR,12815,23
176688316811,Vodafone CZ,Vodafone Czech Republic a.s.,7122,8
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,5977,8
102403989060169,Pomáháme Ukrajině,DFMG,5598,4
120461304659141,O2 CZ,O2 Czech republic,4035,3
104768355190287,Sázíme Česko,PlanetWe Rewild s.r.o.,3145,6
137778619615350,Voyo.cz,TV Nova s. r. o.,3122,4
609246842426009,Rekonstrukce státu,Rekonstrukce státu,3023,8
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,2950,11
178362315106,European Parliament,European Parliament,2911,11
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",2866,3
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,2292,3
108726857444837,České zájmy v EU,DFMG,2272,4
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,2212,3
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,1910,5
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,1628,4
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita Česká republika,1614,5
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,1540,2
356451014434612,Marian Jurečka,KDU-ČSL,1531,9
101983652354160,Jozef Síkela,Starostové a nezávislí,1376,1
100201752249169,Spolu21,Občanská demokratická strana,1295,6
101288484695293,Evropská soda,DFMG,1228,1
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,1096,3
60516116431,Člověk v tísni,These ads ran without a disclaimer,1084,2
1469427909957890,Reportér magazín,Reportér magazín,1061,2
424114981002397,Český rozhlas Plus,Český rozhlas,1008,40
197010357446014,Ondřej Prokop,Ondrej Prokop,985,4
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,977,4
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,944,6
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",928,10
103059308644099,Replastuj.cz,Replastuj.cz,856,1
108973609370,Linka bezpečí,Linka bezpečí,841,2
123858471641,iROZHLAS.cz,Český rozhlas,823,3
453697017993990,Aspen Institute Central Europe,Aspen Institute Central Europe,778,4
251656685576,KDU-ČSL,KDU-ČSL,767,3
275383259179951,Tepelná čerpadla IVT,Tepelná čerpadla IVT,737,6
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,703,1
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,696,19
460558621177512,Zálohujme.cz,Zálohujme,683,1
203656526961481,Klub Pátečníků - patecnici.cz,Klub Pátečníků s.r.o.,644,4
107898832590939,European Commission,European Commission,642,2
52479821102,Týdeník Respekt,Týdeník Respekt,629,3
693725074166331,Naše zdravotnictví,Naše zdravotnictví,611,5
711658465662315,XTV,XTV,592,9
118636354851151,ODS Pardubice - oblastní sdružení,ODS - Občanská demokratická strana,589,1
1757913860945739,ORLEN Unipetrol,ORLEN Unipetrol a.s.,584,1
90002267161,TOP 09,TOP 09,545,5
107898832590939,European Commission,These ads ran without a disclaimer,523,1
