Location name,Amount spent (INR)
Andaman and Nicobar Islands,401
Andhra Pradesh,91396
Arunachal Pradesh,2385
Assam,23165
Bihar,69805
Chandigarh,2230
Chhattisgarh,54209
Dadra and Nagar Haveli,1273
Delhi,77047
Goa,4110
Gujarat,105508
Haryana,52720
Himachal Pradesh,14090
Jammu and Kashmir,6394
Jharkhand,18946
Karnataka,78301
Kerala,12251
Lakshadweep,≤100
Madhya Pradesh,108443
Maharashtra,247172
Manipur,431
Meghalaya,3425
Mizoram,3590
Nagaland,758
Odisha,20835
Puducherry,672
Punjab region,42702
Rajasthan,171469
Sikkim,2089
Tamil Nadu,62532
Telangana,82131
Tripura,2093
Unknown,145
Uttar Pradesh,130544
Uttarakhand,13560
West Bengal,144084
