Location name,Amount spent (SEK)
Blekinge County,4199
Dalarna County,8634
Gotland County,1916
Gävleborg County,10008
Halland County,8275
Jämtland County,4666
Jönköping County,9683
Kalmar County,6220
Kronoberg County,5265
Norrbotten County,7918
Skåne County,37256
Stockholm County,65551
Södermanland County,7968
Unknown,≤100
Uppsala County,11474
Värmland County,7846
Västerbotten County,8832
Västernorrland County,7765
Västmanland County,7952
Västra Götaland County,48870
Örebro County,8430
Östergötland County,12343
