Location name,Amount spent (RON)
Alba County,1145
Arad County,1217
Argeș County,1739
Bacău County,1602
Bihor County,1911
Bistrița-Năsăud County,805
Botoșani County,1015
Brașov County,3213
Brăila County,806
Bucharest,8134
Buzău County,988
Caraș-Severin County,629
Cluj County,2826
Constanța County,2420
Covasna County,648
Călărași County,599
Dolj County,1458
Dâmbovița County,1407
Galați County,1623
Giurgiu County,543
Gorj County,832
Harghita County,983
Hunedoara County,1321
Ialomița County,438
Iași County,2484
Ilfov County,1095
Maramureș County,1481
Mehedinți County,808
Mureș County,1971
Neamț County,1298
Olt County,662
Prahova County,2140
Satu Mare County,898
Sibiu County,1294
Suceava County,1507
Sălaj County,635
Teleorman County,691
Timiș County,2425
Tulcea County,511
Unknown,≤100
Vaslui County,747
Vrancea County,920
Vâlcea County,1058
