Location name,Amount spent (TRY)
Adana Province,943
Adıyaman Province,≤100
Afyonkarahisar Province,512
Aksaray Province,157
Amasya Province,≤100
Ankara Province,1848
Antalya Province,1026
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,772
Ağrı Province,≤100
Balıkesir Province,345
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,1444
Denizli Province,423
Diyarbakır Province,163
Düzce Province,102
Edirne Province,≤100
Elazığ Province,103
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,386
Gaziantep Province,401
Giresun Province,131
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,509
Isparta Province,161
Istanbul Province,9431
Iğdır Province,≤100
Kahramanmaraş Province,192
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,348
Kilis Province,≤100
Kocaeli Province,451
Konya Province,765
Kütahya Province,128
Kırklareli Province,≤100
Kırıkkale Province,110
Kırşehir Province,164
Malatya Province,≤100
Manisa Province,360
Mardin Province,109
Mersin Province,2567
Muğla Province,415
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,243
Osmaniye Province,141
Rize Province,≤100
Sakarya Province,143
Samsun Province,351
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,118
Tekirdağ Province,837
Tokat Province,114
Trabzon Province,202
Tunceli Province,≤100
Unknown,≤100
Uşak Province,110
Van Province,≤100
Yalova Province,102
Yozgat Province,289
Zonguldak Province,142
Çanakkale Province,132
Çankırı Province,≤100
Çorum Province,128
İzmir Province,2616
Şanlıurfa Province,275
Şırnak Province,≤100
