Location name,Amount spent (SEK)
Blekinge County,3403
Dalarna County,7487
Gotland County,1606
Gävleborg County,7409
Halland County,7820
Jämtland County,3526
Jönköping County,8843
Kalmar County,5291
Kronoberg County,4448
Norrbotten County,6650
Skåne County,38134
Stockholm County,74492
Södermanland County,7841
Unknown,≤100
Uppsala County,15818
Värmland County,6800
Västerbotten County,7038
Västernorrland County,5827
Västmanland County,6795
Västra Götaland County,45431
Örebro County,7479
Östergötland County,10746
