Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
620112028325862,Hon Jamale Pringle - Leader of the Opposition,United Progressive Party,≤100,1
486723854867439,MYUPP,United Progressive Party,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
251067568809208,St. John's Rural North,Angelica Ayoka O'Donoghue,≤100,1
103857448157674,Michael M. Joseph,Michael M. Joseph,≤100,1
101388509327100,Extra famous,These ads ran without a disclaimer,≤100,2
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
10606591490,TIME,These ads ran without a disclaimer,≤100,1
8002590959,Rainforest Action Network - RAN,These ads ran without a disclaimer,≤100,3
105986175239619,Sea Creature Love,These ads ran without a disclaimer,≤100,1
100525605800075,Meet and Greet,These ads ran without a disclaimer,≤100,1
